Date,Avg_Sales
19-04-2020,293830.34
20-04-2020,286094.52
21-04-2020,277144.45
22-04-2020,287941.38
23-04-2020,286521.38
24-04-2020,241088.09
25-04-2020,268354.53
26-04-2020,305432.11
27-04-2020,307072.86
28-04-2020,278778.9
29-04-2020,281129.38
30-04-2020,301410.05
01-05-2020,267083.29
02-05-2020,263007.59
03-05-2020,265565.71
04-05-2020,303119.75
05-05-2020,253597.37
06-05-2020,284495.38
07-05-2020,254541.1
08-05-2020,221303.13
09-05-2020,232938.01
10-05-2020,225236.14
11-05-2020,345794.68
12-05-2020,284379.67
13-05-2020,264778.5
14-05-2020,276016.5
15-05-2020,247830.75
16-05-2020,243084.48
17-05-2020,313161.52
18-05-2020,318291.84
19-05-2020,298002.99
20-05-2020,272318.33
21-05-2020,250514.26
22-05-2020,247103.55
23-05-2020,253267.64
24-05-2020,274279.6
25-05-2020,284195.02
26-05-2020,271519.26
27-05-2020,256073.08
28-05-2020,274407.79
29-05-2020,233073.46
30-05-2020,239206.07
31-05-2020,356060.75
01-06-2020,335833.11
02-06-2020,306964.46
03-06-2020,352807.65
04-06-2020,298436.48
05-06-2020,336964.58
06-06-2020,305347.26
07-06-2020,317367.24
08-06-2020,302635.83
09-06-2020,312749.33
10-06-2020,273992.64
11-06-2020,262677.74
12-06-2020,229372.41
13-06-2020,247726.83
14-06-2020,320014.49
15-06-2020,331893.55
16-06-2020,372136.34
17-06-2020,296728.01
18-06-2020,330438.93
19-06-2020,338705.62
20-06-2020,266411.4
21-06-2020,290991.09
22-06-2020,280828.99
23-06-2020,267113.12
24-06-2020,275169.45
25-06-2020,270462.87
26-06-2020,304909.55
27-06-2020,289669.54
